"gene","wt_0_r1","wt_0_r2","wt_0_r3","wt_15_r1","wt_15_r2","wt_15_r3","wt_30_r1","wt_30_r2","wt_30_r3","wt_60_r1","wt_60_r2","wt_60_r3","wt_120_r1","wt_120_r2","wt_120_r3","wt_180_r1","wt_180_r2","wt_180_r3","mut_0_r1","mut_0_r2","mut_0_r3","mut_15_r1","mut_15_r2","mut_15_r3","mut_30_r1","mut_30_r2","mut_30_r3","mut_60_r1","mut_60_r2","mut_60_r3","mut_120_r1","mut_120_r2","mut_120_r3","mut_180_r1","mut_180_r2","mut_180_r3"
"SPAC22H10.12c",10.0776598985905,10.016254048823,10.0517276989867,11.0687213753994,10.8847412313221,10.895947858116,11.6279068165102,11.5441374655429,11.5634009952769,10.2941539753789,10.7224279554969,10.3586091546183,10.1977220307858,10.145959288786,10.1167610402258,10.082981469393,10.1714539216828,10.0279675273657,9.90396190728935,9.93066407243993,10.0365082353809,10.7311597789597,10.8174226032076,10.7926749829666,11.2586596250076,11.5142330784816,11.3932865193543,10.3400136230961,10.3955936458986,10.278233125845,10.1677752607001,10.132270850313,10.2587412705664,10.2438669446555,10.0156204312258,10.0550221153587
"SPAC4A8.16c",13.1491645980278,13.2712339372383,13.204423431959,13.7447366809565,13.5402087012692,13.7777222738026,12.9418113065484,13.2315223780022,13.0277815392561,12.9392535825429,12.8358463849486,12.7506481062115,13.1759664809173,13.2140573179814,13.1520931176123,13.2448884481243,13.0641160188946,13.2100921818137,13.2248792886299,13.1479075126246,13.2171415771442,13.5496482024753,13.5298504677607,13.7660807374766,13.0842374097357,13.1547892584048,13.0804057853086,12.8593455645818,12.7496783571161,12.9505946071775,13.1189727476479,13.0142087316302,13.1840775338276,13.1672681829138,13.1643846129307,13.2839654234855
"SPAC16E8.15",10.7610263513025,10.718026464595,10.5514705619001,11.2472740672918,10.9949934788107,10.9726483494345,10.4775935003016,10.4278416331089,10.3524834491558,10.4110273486857,10.1900928747761,10.111440074727,10.6455455072775,10.7535723953218,10.5418658398753,10.7158792638003,10.5275716467684,10.6517125507855,10.7437607074994,10.6013255890359,10.6421384851308,10.9345095004384,10.9037339256306,10.97661779978,10.2681184113596,10.3308781745293,10.1890361324679,10.2938938410121,10.2730876811424,10.0655079125037,10.6574589458338,10.4560835673667,10.5388488975185,10.6962890502557,10.5674306339814,10.5964998495328
"SPAC167.01",8.36266433746857,8.39468974849063,8.52323995816956,7.64830743970905,8.12384389808306,7.75059893930731,8.53604425477079,8.83453940055489,8.86876209086853,8.71143550918669,8.79676936268861,8.77604749978673,8.56647360104253,8.41974759570691,8.59909016165329,8.64968725671095,8.87551919357322,8.62744898560224,8.53112178635832,8.49746650833209,8.51215206572349,7.9173034431825,8.08172610420175,8.3534911095711,8.55442751252995,8.51448187451249,8.76171492258956,8.8317489542038,8.96362564964481,9.10381072278165,8.68295579258207,8.53138854292174,8.55465582665326,8.43538844842361,8.83670876175835,8.63126537661252
"SPAC6B12.07c",9.00801059273069,9.23258907046226,9.08552663019726,10.7620878034072,10.7023771952537,10.9726483494345,11.422475756226,11.7116273018157,11.4904040645392,9.57069446583234,9.51804055453142,9.57696411573035,9.30914710838338,9.13725499357853,9.62209661349211,9.46168960356514,9.54516303007445,9.55658059417629,8.91019164511294,8.99228131447135,9.09800576057383,10.5644475720862,10.4111650667606,10.8550426321487,11.5044468727549,11.3629660046929,11.6919819799073,9.44794094794359,9.78882254473391,9.80127878946034,9.41369903351267,9.34423124756873,9.54456560349618,9.43129555213003,9.22171265075628,9.50572983947924
"SPAC32A11.02c",8.04658067614617,8.34773488442067,8.41992295918971,12.1200317720658,11.8718901882235,12.4442167421526,13.2631427917398,13.6930621181542,13.9515494173681,9.29336926649444,10.1045223105548,9.45679184932192,8.81532631606703,8.2943381764097,9.42425060152851,8.39280198197162,9.24698620822079,8.61844681124699,8.01449743901021,8.14744171662949,8.52520365870743,12.026156292893,11.733087448042,11.6549853754334,13.2797470034896,13.7024950620229,13.4154696762505,8.69134832866874,9.35711284154209,8.28801831605186,8.43296088910942,8.91634742989784,8.75899544959814,7.87689039013981,8.01866537564767,8.41146494677826
"SPAC823.03",8.5004302776895,8.58376672786923,8.46415842211496,9.83851346249791,9.76993241240555,9.89239456799002,10.5081941585911,10.7196797664231,10.8846506665548,9.01558385417936,9.49037812369372,9.2862135577707,8.77342628633045,8.58943100702923,8.97107344343408,8.68518127637266,9.06333327823682,8.82031063687867,8.42368288932585,8.63111314366226,8.69646724926933,9.68226541738501,9.61012117561269,9.59494154062533,10.7606211549946,10.7978752056667,10.8713260193091,8.63622599889019,8.87224664812287,9.20115518101436,8.97053316296811,8.91911303690557,8.93553177210496,8.69660194699972,8.68147729360116,8.6789885340261
"SPAC26A3.17c",9.90467001717222,9.82222310279575,9.63556946734125,10.2604560566683,10.1398635139385,10.157114130531,9.02767065078687,9.03817565382143,8.62370986090862,9.36259331496439,9.27081039725091,9.23039778436707,9.71059838138976,9.71495223662638,9.61496883296315,9.76848768242107,9.49711763425553,9.44915092904888,9.937751590784,9.86859486277152,9.64433727250494,10.1980879336444,10.0560882727077,10.0597379831509,9.01985210469233,9.47945813210409,8.64142610466335,9.28829305805852,9.18013211951024,8.99348398365248,9.76028587329088,9.56673488313088,9.63372285728162,9.73484678280609,9.595130227261,9.65139624954559
"SPAC3H5.09c",10.4765210659213,10.6266057776378,10.5963807160469,10.0918429418948,10.0672133302415,10.1734568991052,10.8160295626309,10.8518309413577,11.0449791260249,10.752887341648,10.7566787322312,10.7071420249346,10.6354609809181,10.5577638836967,10.6550252914931,10.4977600253969,10.5323448831763,10.7340778591233,10.4584387794439,10.5296169686143,10.554357331061,9.96528517545849,10.1163035839007,10.0663446907272,10.778592630126,10.5052825134326,10.8343995863156,10.5344634450557,10.5998396372634,10.722563005465,10.5949337761394,10.62207580309,10.6752503700631,10.5847849219086,10.6018013110506,10.7835093605869
"SPAC11E3.14",8.78585763084696,8.77317528350422,8.72398301157179,10.2885314329027,10.4001571683475,10.4359203443385,11.2673811959498,11.3366812510194,11.2307863860881,9.13419395796173,9.72108663388817,9.31745756840126,9.31693970529084,9.16135056201656,9.44047226558406,9.16110607073713,9.25856355403342,9.17647472461406,8.81631754891968,8.76858438030152,8.7530009137415,10.1476033786018,10.1036103149618,10.4300008670645,11.2239491027364,11.3050235799134,11.3063940681795,9.10134068566755,9.34395436125144,9.20968681749525,9.35198246301464,9.44738430590646,9.37389140938122,9.12939199850475,9.21364689739013,9.09928325427873
